exchange,stock_symbol,date,dividends
NYSE,KRH,2009-08-12,0.969
NYSE,KRH,2009-02-11,0.969
NYSE,KRH,2008-08-12,0.969
NYSE,KRH,2008-02-12,0.969
NYSE,KRH,2007-08-10,0.969
NYSE,KRH,2007-02-12,0.969
NYSE,KRH,2006-08-10,0.969
NYSE,KRH,2006-02-10,0.969
NYSE,KRH,2005-08-10,0.969
NYSE,KRH,2005-02-10,0.969
NYSE,KRH,2004-08-11,0.97
NYSE,KRH,2004-02-11,0.97
NYSE,KRH,2003-08-12,0.97
NYSE,KRH,2003-02-12,0.969
NYSE,KRH,2002-08-12,0.969
NYSE,KRH,2002-02-12,0.969
NYSE,KRH,2001-08-10,0.59
NYSE,KBR,2009-12-11,0.05
NYSE,KBR,2009-09-11,0.05
NYSE,KBR,2009-06-11,0.05
NYSE,KBR,2009-03-11,0.05
NYSE,KBR,2008-12-11,0.05
NYSE,KBR,2008-09-11,0.05
NYSE,KBR,2008-06-11,0.05
NYSE,KBR,2008-03-12,0.05
NYSE,KTX,2010-01-27,1.0
NYSE,KTX,2009-07-29,1.0
NYSE,KTX,2009-01-28,1.0
NYSE,KTX,2008-07-29,1.0
NYSE,KTX,2008-01-29,1.0
NYSE,KTX,2007-07-27,1.0
NYSE,KTX,2007-01-29,1.0
NYSE,KTX,2006-07-27,1.0
NYSE,KTX,2006-01-27,1.0
NYSE,KTX,2005-07-27,1.0
NYSE,KTX,2005-01-27,1.0
NYSE,KTX,2004-07-28,1.0
NYSE,KTX,2004-01-28,1.0
NYSE,KTX,2003-07-29,1.0
NYSE,KTX,2003-01-29,1.0
NYSE,KTX,2002-07-29,1.0
NYSE,KTX,2002-01-29,1.0
NYSE,KTX,2001-07-27,1.0
NYSE,KTX,2001-01-29,0.5
NYSE,KTX,2000-07-27,1.022
NYSE,KTX,2000-01-27,0.578
NYSE,KHI,2010-01-14,0.065
NYSE,KHI,2009-12-15,0.065
NYSE,KHI,2009-11-12,0.06
NYSE,KHI,2009-10-14,0.06
NYSE,KHI,2009-09-16,0.06
NYSE,KHI,2009-08-13,0.06
NYSE,KHI,2009-07-15,0.06
NYSE,KHI,2009-06-11,0.06
NYSE,KHI,2009-05-14,0.06
NYSE,KHI,2009-04-15,0.07
NYSE,KHI,2009-03-12,0.08
NYSE,KHI,2009-02-12,0.084
NYSE,KHI,2009-01-15,0.084
NYSE,KHI,2008-12-11,0.084
NYSE,KHI,2008-11-13,0.084
NYSE,KHI,2008-10-14,0.084
NYSE,KHI,2008-09-16,0.084
NYSE,KHI,2008-08-14,0.084
NYSE,KHI,2008-07-15,0.084
NYSE,KHI,2008-06-12,0.084
NYSE,KHI,2008-05-15,0.084
NYSE,KHI,2008-04-15,0.084
NYSE,KHI,2008-03-13,0.084
NYSE,KHI,2008-02-14,0.084
NYSE,KHI,2008-01-16,0.088
NYSE,KHI,2007-12-13,0.088
NYSE,KHI,2007-11-14,0.088
NYSE,KHI,2007-10-11,0.088
NYSE,KHI,2007-09-13,0.088
NYSE,KHI,2007-08-15,0.088
NYSE,KHI,2007-07-12,0.088
NYSE,KHI,2007-06-14,0.088
NYSE,KHI,2007-05-15,0.088
NYSE,KHI,2007-04-12,0.088
NYSE,KHI,2007-03-15,0.088
NYSE,KHI,2007-02-14,0.088
NYSE,KHI,2007-01-16,0.088
NYSE,KHI,2006-12-14,0.088
NYSE,KHI,2006-11-16,0.088
NYSE,KHI,2006-10-12,0.09
NYSE,KHI,2006-09-19,0.09
NYSE,KHI,2006-08-15,0.096
NYSE,KHI,2006-07-13,0.096
NYSE,KHI,2006-06-14,0.112
NYSE,KHI,2006-05-16,0.112
NYSE,KHI,2006-04-17,0.112
NYSE,KHI,2006-03-14,0.112
NYSE,KHI,2006-02-14,0.112
NYSE,KHI,2005-12-28,0.112
NYSE,KHI,2005-12-15,0.112
NYSE,KHI,2005-11-15,0.112
NYSE,KHI,2005-10-13,0.112
NYSE,KHI,2005-09-15,0.112
NYSE,KHI,2005-08-11,0.112
NYSE,KHI,2005-07-14,0.112
NYSE,KHI,2005-06-15,0.112
NYSE,KHI,2005-05-12,0.112
NYSE,KHI,2005-04-14,0.106
NYSE,KHI,2005-03-15,0.106
NYSE,KHI,2005-02-15,0.106
NYSE,KHI,2004-12-29,0.106
NYSE,KHI,2004-12-15,0.106
NYSE,KHI,2004-11-12,0.106
NYSE,KHI,2004-10-14,0.106
NYSE,KHI,2004-09-15,0.106
NYSE,KHI,2004-08-12,0.106
NYSE,KHI,2004-07-14,0.106
NYSE,KHI,2004-06-15,0.106
